text,label
"India won the cricket world cup",REAL
"Aliens landed in Chennai yesterday",FAKE
"Government launches new railway project",REAL
"Moon made of chocolate scientists confirm",FAKE
"New education policy announced",REAL
"Dinosaurs found living in Madurai",FAKE
"ISRO launches new satellite",REAL
"Scientists discover unicorn in Tamil Nadu",FAKE
"Reserve Bank keeps interest rates unchanged",REAL
"Fish started flying regularly over Delhi",FAKE
"New highway project inaugurated by government",REAL
"Time travelers spotted at Chennai airport",FAKE
"India records growth in renewable energy sector",REAL
"Invisible city found under Marina Beach",FAKE
"Parliament passes new digital governance bill",REAL
"Cats elected as mayors in five districts",FAKE
"Indian scientists publish climate research findings",REAL
"Earth will stop rotating next week",FAKE
"Government announces scholarship program for students",REAL
"Talking elephants open bank accounts",FAKE
"New metro rail extension approved",REAL
"Dragons seen flying above Western Ghats",FAKE
"Healthcare budget increased this year",REAL
"Ancient aliens appointed as university professors",FAKE
"ISRO successfully tests rocket engine",REAL
"Mermaids discovered in Vaigai river",FAKE
"New industrial park opens in Tamil Nadu",REAL
"Humans can now breathe underwater naturally",FAKE
"Indian economy shows steady expansion",REAL
"Moon declared a tourist district",FAKE
"Scientists develop improved water purification method",REAL
"Ghosts registered for voter ID cards",FAKE
"Government launches startup support initiative",REAL
"Sun rises from west for one day",FAKE
"New railway station modernization project begins",REAL
"Magic carpets approved for public transport",FAKE
"Researchers identify new crop protection technique",REAL
"Trees begin sending text messages to farmers",FAKE
"State government expands rural healthcare services",REAL
"Dinosaurs employed in software companies",FAKE
"India increases solar power generation capacity",REAL
"Flying cars arrive from another galaxy",FAKE
"University introduces new engineering curriculum",REAL
"People learn telepathy through mobile apps",FAKE
"New dam project receives environmental clearance",REAL
"Chennai beach sand turns into gold overnight",FAKE
"Scientists discover efficient battery technology",REAL
"Aliens open restaurant in Madurai",FAKE
"Government releases annual economic survey",REAL
"Unicorns spotted directing traffic in cities",FAKE
